qt_d1sbqsiftd,qt_e1sbqsiftd,qt_3iyhzvnitd,qt_xd6evd8dtd
,"טבריה, יהודה הלוי 113",יוחננוף,מרכולים 🟣
,"פנחס רוזן  72, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"אינשטיין  7, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"שבטי ישראל  35, ירושלים",מרכנתיל,כספומטים 🟢
,"נתיבות, בעלי מלאכה 2",יוחננוף,מרכולים 🟣
,"החשמונאים  84, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"המשביר  1, חולון",לאומי,כספומטים 🟢
,"בית צורי  15, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"בית שאן, שד מנחם בגין 1",יוחננוף,מרכולים 🟣
,"הברזל  3, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"הרברט סמואל  55, חדרה",מרכנתיל,כספומטים 🟢
,"סוקולוב  45, חולון",לאומי,כספומטים 🟢
,"הורודצקי  10, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"צה""ל  71, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"פינחס איילון  13, חולון",לאומי,כספומטים 🟢
,"מרכז הכפר  0, חורפיש",לאומי,כספומטים 🟢
,"שד' הנשיא  107, חיפה",לאומי,כספומטים 🟢
,"דיר אל אסד  0, דייר אל-אסד",מרכנתיל,כספומטים 🟢
,"רבי עקיבא  140, בני ברק",מרכנתיל,כספומטים 🟢
,"פלימן  4, חיפה",לאומי,כספומטים 🟢
,"שדרות פל ים  7, חיפה",לאומי,כספומטים 🟢
,"חורב  14, חיפה",לאומי,כספומטים 🟢
,"קפלן, הקריה  27, תל אביב -יפו",הבינלאומי,כספומטים 🟢
,"מתחם SEVEN  1, אום אל-פחם",מסד,כספומטים 🟢
,"בת ים, הרב ניסנבוים יצחק 34",יוחננוף,מרכולים 🟣
,"נס ציונה, האירוסים 32",יוחננוף,מרכולים 🟣
,"רעננה, סשה ארגוב 23",יוחננוף,מרכולים 🟣
,"שבי ציון  3, אשדוד",מרכנתיל,כספומטים 🟢
,"הבנים  7, אשדוד",מסד,כספומטים 🟢
,"מודיעין-מכבים-רעות, שד המלאכות 24",יוחננוף,מרכולים 🟣
,"מרכז מסחרי אום אל פחם  0, אום אל-פחם",מרכנתיל,כספומטים 🟢
,"הרצל  91, באר שבע",מסד,כספומטים 🟢
,"הנשיא  21, חדרה",מסד,כספומטים 🟢
,"סוקולוב  41, חולון",מסד,כספומטים 🟢
,"ראש העין, עמל 2",ויקטורי,מרכולים 🟣
,"עפולה, שד בגין מנחם 79",ויקטורי,מרכולים 🟣
,"בר יהודה  111, חיפה",מסד,כספומטים 🟢
,"פנקס  32, תל אביב -יפו",הפועלים,כספומטים 🟢
,"קריית טבעון, מרוה 1",ויקטורי,מרכולים 🟣
,"שמאי  16, ירושלים",מסד,כספומטים 🟢
,"הרצל  63, חיפה",לאומי,כספומטים 🟢
,"התע""ש  14, כפר סבא",מסד,כספומטים 🟢
,"דיזנגוף  205, תל אביב -יפו",הפועלים,כספומטים 🟢
,"מעלה כמון, חוצות כרמיאל  5, כרמיאל",מסד,כספומטים 🟢
,"שדרות, סמ הפלדה 1",ויקטורי,מרכולים 🟣
,"קריית מוצקין, שדרות ירושלים 1",ויקטורי,מרכולים 🟣
,"עוקף נצרת  83, נצרת",מסד,כספומטים 🟢
,"רוטשילד  50, תל אביב -יפו",הפועלים,כספומטים 🟢
,"ירושלים, אגודת ספורט בית""ר 1",ויקטורי,מרכולים 🟣
,"רמז  14, נתניה",מסד,כספומטים 🟢
,"רמת השרון, חרושת 18",יוחננוף,מרכולים 🟣
,"גלבוע  36, חיפה",לאומי,כספומטים 🟢
,"כביש עכו-נהריה, א.ת. אלרם (עכו דרום)  0, עכו",מסד,כספומטים 🟢
,"רמת גן, דרך אבא הלל 101",ויקטורי,מרכולים 🟣
,"שפיגל  3, פתח תקווה",מסד,כספומטים 🟢
,"תרמב  9, ראשון לציון",מסד,כספומטים 🟢
,"חיפה, אנקואה רפאל הרב 24",ויקטורי,מרכולים 🟣
,"אשדוד, יוהנה זבוטינסקי 27",יוחננוף,מרכולים 🟣
,"ביאליק  10, רמת גן",מסד,כספומטים 🟢
,"שדרות הנשיא  123, חיפה",לאומי,כספומטים 🟢
,"דרך ארץ  46, חריש",לאומי,כספומטים 🟢
,"רחוב ראשי שכונת אלעין  0, שפרעם",מסד,כספומטים 🟢
,"ככר הנשיא  8, שדרות",הפועלים,כספומטים 🟢
,"שד' רוטשילד  38, תל אביב -יפו",מסד,כספומטים 🟢
,"ראש העין, שבזי 26",ויקטורי,מרכולים 🟣
,"ראשון לציון, פרס שמעון 33",ויקטורי,מרכולים 🟣
,"דרך השלום  84, אבו גוש",ירושלים,כספומטים 🟢
,"אור יהודה, המפעל 2",יוחננוף,מרכולים 🟣
,"חריש, ספיר 1",ויקטורי,מרכולים 🟣
,"השלום  21, אבו גוש",ירושלים,כספומטים 🟢
,"הרב חיים סמאג'א  12, טבריה",לאומי,כספומטים 🟢
,"כניסה לאום אל פאחם  1, אום אל-פחם",ירושלים,כספומטים 🟢
,"שוהם, שד עמק איילון 161",ויקטורי,מרכולים 🟣
,"קניון SEVEN  0, אום אל-פחם",ירושלים,כספומטים 🟢
,"מרכז הכפר  0, טורעאן",לאומי,כספומטים 🟢
,"רח' השקמה  2, אזור",ירושלים,כספומטים 🟢
,"אחוזה  112, רעננה",הפועלים,כספומטים 🟢
,"ביאליק  32, רמת גן",הפועלים,כספומטים 🟢
,"יהודה הנשיא  94, אלעד",ירושלים,כספומטים 🟢
,"שהין סנטר הרח' הראשי  0, טייבה",לאומי,כספומטים 🟢
,"טארק עבדול חי  0, טירה",לאומי,כספומטים 🟢
,"שרון  1, אלעד",ירושלים,כספומטים 🟢
,"אשלים, שד בן גוריון 17",ויקטורי,מרכולים 🟣
,"כפר סבא, אנגל 80",ויקטורי,מרכולים 🟣
,"הציונות  78, אריאל",ירושלים,כספומטים 🟢
,"הפלמ""ח  20, אשדוד",ירושלים,כספומטים 🟢
,"ירכא, ירכא 1",מרכזה,מרכולים 🟣
,"הרי גולן  12, אשדוד",ירושלים,כספומטים 🟢
,"הרצל  30, טירת כרמל",לאומי,כספומטים 🟢
,"כנרת  4, אשדוד",ירושלים,כספומטים 🟢
,"ראשון לציון, לוי משה 8",חצי חינם,מרכולים 🟣
,"צה""ל  1, אשדוד",ירושלים,כספומטים 🟢
,"כניסה לעיר טמרה  0, טמרה",לאומי,כספומטים 🟢
,"אלי כהן  19, אשלים",ירושלים,כספומטים 🟢
,"אלי כהן  37, אשלים",ירושלים,כספומטים 🟢
,"רמת גן, הרצל 52",ויקטורי,מרכולים 🟣
,"הקישון  7, יבנה",לאומי,כספומטים 🟢
,"דרך העצמאות  54, יהוד-מונוסון",לאומי,כספומטים 🟢
,"עכו, שלום הגליל 1",ויקטורי,מרכולים 🟣
,"התמר  2, יקנעם עילית",לאומי,כספומטים 🟢
,"יהודה הלוי  38, אשלים",ירושלים,כספומטים 🟢
,"עמק האלה  34, אשלים",ירושלים,כספומטים 🟢
,"עפולה, חנקין יהושע 1","שיווק רוסמן בע""מ",מרכולים 🟣
,"אשלים, לייפר- מילר רחל 68",קרפור,מרכולים 🟣
,"שד' בן גוריון פינת קיבוץ גלויות  2, אשלים",ירושלים,כספומטים 🟢
,"קריית אתא, זבולון 14",ויקטורי,מרכולים 🟣
,"רמת גן, עוזיאל 113",קרפור,מרכולים 🟣
,"מרכז מסחרי באקה אל גרביה  0, באקה אל-גרביה",ירושלים,כספומטים 🟢
,"יפו  208, ירושלים",לאומי,כספומטים 🟢
,"דרך חיים  1, באר יעקב",ירושלים,כספומטים 🟢
,"באר שבע, יוהנה ז'בוטינסקי 30",קרפור,מרכולים 🟣
,"הדסה  90, באר שבע",ירושלים,כספומטים 🟢
,"יעלים  32, באר שבע",ירושלים,כספומטים 🟢
,"בית שמש, יגאל אלון 1",קרפור,מרכולים 🟣
,"צומת המצודות, עמית סנטר  0, קריית שמונה",הפועלים,כספומטים 🟢
,"אורנית, הערבה 3",ויקטורי,מרכולים 🟣
,"יעקב כהן  3, באר שבע",ירושלים,כספומטים 🟢
,"דרך חברון  101, ירושלים",לאומי,כספומטים 🟢
,"עגנון  20, ירושלים",לאומי,כספומטים 🟢
,"נחום שריג  1, באר שבע",ירושלים,כספומטים 🟢
,"תל אביב -יפו, מרכוס דוד 13",קרפור,מרכולים 🟣
,"צומת אלי כהן  1, באר שבע",ירושלים,כספומטים 🟢
,"בית חנינא קניון בלאדי  0, בית חנניה",ירושלים,כספומטים 🟢
,"אשלים, שד ירושלים 5",קרפור,מרכולים 🟣
,"גני תקווה, הכרמל 20",ויקטורי,מרכולים 🟣
,"נוף הגליל, העבודה 1",מרכזה,מרכולים 🟣
,"השבעה  4, בית שמש",ירושלים,כספומטים 🟢
,"הר חוצבים  1, ירושלים",לאומי,כספומטים 🟢
,"יחזקאל הנביא  24, בית שמש",ירושלים,כספומטים 🟢
,"הוד השרון, בן גוריון 51",קרפור,מרכולים 🟣
,"חולון, הכישור 22",חצי חינם,מרכולים 🟣
,"יצחק רבין  2, בית שמש",ירושלים,כספומטים 🟢
,"המלך ג'ורג'  22, ירושלים",לאומי,כספומטים 🟢
,"רבי עקיבא  3, ביתר עילית",ירושלים,כספומטים 🟢
,"ישמח ישראל  1, ביתר עילית",ירושלים,כספומטים 🟢
,"שדרות הרצל  106, ירושלים",לאומי,כספומטים 🟢
,"גולדה מאיר  255, ירושלים",לאומי,כספומטים 🟢
,"ז'בוטינסקי  9, בני ברק",ירושלים,כספומטים 🟢
,"גלבוע  1, בני דרור",ירושלים,כספומטים 🟢
,"שד' לכיש  30, קריית גת",הפועלים,כספומטים 🟢
,"חולון, ההסתדרות 106",קרפור,מרכולים 🟣
,"תל אביב -יפו, אורי 12",קרפור,מרכולים 🟣
,"שדרות משה דיין  164, גבעת זאב",ירושלים,כספומטים 🟢
,"רעננה, ההסתדרות 11",קרפור,מרכולים 🟣
,"הנשיא  57, קריית אונו",הפועלים,כספומטים 🟢
,"מעלה אדומים, צמח השדה 29",קרפור,מרכולים 🟣
,"דרך יצחק רבין  53, גבעתיים",ירושלים,כספומטים 🟢
,"פארן  15, ירושלים",לאומי,כספומטים 🟢
,"סוקולוב  1, הוד השרון",ירושלים,כספומטים 🟢
,"רמת גן, שד האורנים 16",קרפור,מרכולים 🟣
,"אזור תעשיה בחלק המזרחי כביש  4, זכרון יעקב",ירושלים,כספומטים 🟢
,"מלכי ישראל  30, ירושלים",לאומי,כספומטים 🟢
,"אזור תעשיה מערבי כביש  4, זכרון יעקב",ירושלים,כספומטים 🟢
,"ששת הימים  1, חדרה",ירושלים,כספומטים 🟢
,"חדרה, הלל יפה 5",קרפור,מרכולים 🟣
,"רמב""ן  21, ירושלים",לאומי,כספומטים 🟢
,"עלי אבן אבו טאלב  3, ירושלים",לאומי,כספומטים 🟢
,"אילת  12, חולון",ירושלים,כספומטים 🟢
,"פתח תקווה, קפלן אליעזר 13",קרפור,מרכולים 🟣
,"מגדל העמק, הארזים 89",קרפור,מרכולים 🟣
,"רבינוביץ  11, חולון",ירושלים,כספומטים 🟢
,"שדרות דב הוז  1, חולון",ירושלים,כספומטים 🟢
,"זכרון יעקב, הכובשים 1",קרפור,מרכולים 🟣
,"התנאים  6, חולון",ירושלים,כספומטים 🟢
,"חולון, המרגנית 2",קרפור,מרכולים 🟣
,"הפסגה  17, ירושלים",לאומי,כספומטים 🟢
,"חזית חמש  11, חולון",ירושלים,כספומטים 🟢
,"רחובות, דרך ירושלים 2",קרפור,מרכולים 🟣
,"מחלף חורשים  1, חורשים",ירושלים,כספומטים 🟢
,"כנפי נשרים  35, ירושלים",לאומי,כספומטים 🟢
,"דרך שמחה גולן  54, חיפה",ירושלים,כספומטים 🟢
,"נתנזון  26, חיפה",ירושלים,כספומטים 🟢
,"דוד המלך  19, ירושלים",לאומי,כספומטים 🟢
,"דרך יצחק רבין  1, פתח תקווה",הפועלים,כספומטים 🟢
,"מגדל העמק, הניצנים 39",קרפור,מרכולים 🟣
,"גאיה סנטר  0, ירכא",לאומי,כספומטים 🟢
,"הכניסה לכפר  0, כאבול",לאומי,כספומטים 🟢
,"מרכז מסחרי ספיר  0, כוכב יאיר",לאומי,כספומטים 🟢
,"שדרות ירושלים  12, חצור-אשדוד",ירושלים,כספומטים 🟢
,"העצמאות  65, פתח תקווה",הפועלים,כספומטים 🟢
,"ז'בוטינסקי  48, טירת כרמל",ירושלים,כספומטים 🟢
,"אשלים, לייפר- מילר רחל 17",קרפור,מרכולים 🟣
,"אילת, חטיבת גולני 43",קרפור,מרכולים 🟣
,"זוננפלד  3, ירושלים",ירושלים,כספומטים 🟢
,"רמת גן, שד האורנים רמת אפעל 16",קרפור,מרכולים 🟣
,"שמגר  21, ירושלים",ירושלים,כספומטים 🟢
,"כפר סבא, השיטה 4",קרפור,מרכולים 🟣
,"ארמון הנציב אלקחי  2, ירושלים",ירושלים,כספומטים 🟢
,"בית חנינא 57  89, ירושלים",ירושלים,כספומטים 🟢
,"ערד, תעשיה 60",קרפור,מרכולים 🟣
,"הוד השרון, הנגר 22",סטופמרקט,מרכולים 🟣
,"דרך שועפאט  49, ירושלים",ירושלים,כספומטים 🟢
,"נתניה, מפי 5",סטופמרקט,מרכולים 🟣
,"גני תקווה, הגליל 78",קרפור,מרכולים 🟣
,"רמת גן, שד הארזים 2",קרפור,מרכולים 🟣
,"צומת גבעת זאב תחנת דלק  0, ירושלים",ירושלים,כספומטים 🟢
,"הרחוב הראשי  0, כפר יאסיף",לאומי,כספומטים 🟢
,"הרחוב הראשי  0, כפר כנא",לאומי,כספומטים 🟢
,"אגודת ספורט בית""ר  1, ירושלים",ירושלים,כספומטים 🟢
,"חיפה, שד ההסתדרות 277",סטופמרקט,מרכולים 🟣
,"אגריפס  88, ירושלים",ירושלים,כספומטים 🟢
,"אליהו קורן  29, ירושלים",ירושלים,כספומטים 🟢
,"הרצלייה, השונית 2",סטופמרקט,מרכולים 🟣
,"תל אביב -יפו, דיזנגוף 65",קרפור,מרכולים 🟣
,"בית חנינא  1, ירושלים",ירושלים,כספומטים 🟢
,"הכניסה לכפר  0, כפר מנדא",לאומי,כספומטים 🟢
,"בן עמי  6, עכו",הפועלים,כספומטים 🟢
,"בן זכאי פינת מעגלי יבנה  1, ירושלים",ירושלים,כספומטים 🟢
,"אשלים, התחיה 1",טיב טעם,מרכולים 🟣
,"דיסקין  9, ירושלים",ירושלים,כספומטים 🟢
,"ויצמן  139, כפר סבא",לאומי,כספומטים 🟢
,"האביבית  2, ירושלים",ירושלים,כספומטים 🟢
,"ורדינון  14, ירושלים",ירושלים,כספומטים 🟢
,"בית שאן, העמל 7",קרפור,מרכולים 🟣
,"הטחנה  1, כפר סבא",לאומי,כספומטים 🟢
,"עלי בן אבו טאלב  0, כפר קאסם",לאומי,כספומטים 🟢
,"יעקב פת פינת הרב הרצוג  1, ירושלים",ירושלים,כספומטים 🟢
,"יפו  113, ירושלים",ירושלים,כספומטים 🟢
,"רחוב ראשי פינת רחוב הגליל  0, סח'נין",הפועלים,כספומטים 🟢
,"כפר סבא, דרך השרון 2",קשת טעמים,מרכולים 🟣
,"נשר, הזית 1",קשת טעמים,מרכולים 🟣
,"משה דיין  107, ירושלים",ירושלים,כספומטים 🟢
,"פתח תקווה, המפעלים 9",קשת טעמים,מרכולים 🟣
,"אבן יהודה, ההסתדרות 2",סטופמרקט,מרכולים 🟣
,"עמק רפאים  43, ירושלים",ירושלים,כספומטים 🟢
,"אלביר  14, כפר קרע",לאומי,כספומטים 🟢
,"קיסריה, הדולב 14",טיב טעם,מרכולים 🟣
,"שדרות הנשיא השישי פינת דרך רבין  1, ירושלים",ירושלים,כספומטים 🟢
,"חיפה, שבתאי לוי 23",קשת טעמים,מרכולים 🟣
,"שמואל הנביא  101, ירושלים",ירושלים,כספומטים 🟢
,"החרושת  9, כרמיאל",לאומי,כספומטים 🟢
,"מרכז המזון ירכא כניסת שוק  1, ירכא",ירושלים,כספומטים 🟢
,"צומת גוש עציון  1, כפר עציון",ירושלים,כספומטים 🟢
,"ראשון לציון, ברשבסקי 33",קשת טעמים,מרכולים 🟣
,"שדרות דוד המלך  0, לוד",לאומי,כספומטים 🟢
,"ארבל  17, מבשרת ציון",לאומי,כספומטים 🟢
,"מישגב  17, כרמיאל",ירושלים,כספומטים 🟢
,"חיפה, האצטדיון 5",קשת טעמים,מרכולים 🟣
,"עכו, החרושת 2",קשת טעמים,מרכולים 🟣
,"מעלה כמון  5, כרמיאל",ירושלים,כספומטים 🟢
,"שדרות נשיאי ישראל  100, כרמיאל",ירושלים,כספומטים 🟢
,"נס ציונה, החרש 9",סופר ברקת,מרכולים 🟣
,"ארבע עונות  16, לוד",ירושלים,כספומטים 🟢
,"כפר סבא, דרך השרון 12",קשת טעמים,מרכולים 🟣
,"בכניסה לכפר  0, מגאר",לאומי,כספומטים 🟢
,"ארבע עונות  20, לוד",ירושלים,כספומטים 🟢
,"ראשון לציון, נגבה 24",סופר ברקת,מרכולים 🟣
,"שד החוצבים  10, מבשרת ציון",ירושלים,כספומטים 🟢
,"שדרות שאול עמור  77, מגדל העמק",לאומי,כספומטים 🟢
,"שדרות החוצבים  10, מבשרת ציון",ירושלים,כספומטים 🟢
,"שדרת החוצבים  5, מבשרת ציון",ירושלים,כספומטים 🟢
,"שד' יחזקאל  2, מודיעין עילית",לאומי,כספומטים 🟢
,"נוף הגליל, העמל 1",קשת טעמים,מרכולים 🟣
,"נס ציונה, סנונית 18",סופר ברקת,מרכולים 🟣
,"הרכבת  2, מודיעין-מכבים-רעות",לאומי,כספומטים 🟢
,"קדם  5, מעלה אדומים",לאומי,כספומטים 🟢
,"מגד אל כרום  1, מג'ד אל-כרום",ירושלים,כספומטים 🟢
,"אבני נזר  18, מודיעין עילית",ירושלים,כספומטים 🟢
,"דרך השלום  17, נשר",הפועלים,כספומטים 🟢
,"ראשון לציון, אצ""ל 24",אושר עד,מרכולים 🟣
,"ירושלים, הרכבים 26",אושר עד,מרכולים 🟣
,"דלק ארז כביש 443 לכיוון מזרח  1, מודיעין-מכבים-רעות",ירושלים,כספומטים 🟢
,"נתניה, שד לנטוס טום 60",אושר עד,מרכולים 🟣
,"שדרות התעשיות  121, מודיעין-מכבים-רעות",ירושלים,כספומטים 🟢
,"דרך קדם  5, מעלה אדומים",לאומי,כספומטים 🟢
,"האבן  15, מעלה אדומים",ירושלים,כספומטים 🟢
,"קריית ים, גולדה מאיר 3",אושר עד,מרכולים 🟣
,"שמח השדה  29, מעלה אדומים",ירושלים,כספומטים 🟢
,"האירית  2, נהרייה",ירושלים,כספומטים 🟢
,"כפר סבא, בלפר זאב 12",אושר עד,מרכולים 🟣
,"רח' האירית  2, נהרייה",ירושלים,כספומטים 🟢
,"כנות, כנות 24",אושר עד,מרכולים 🟣
,"ראשון לציון, אצ""ל 26",אושר עד,מרכולים 🟣
,"קריית ביאליק, מולר הנס 1",אושר עד,מרכולים 🟣
,"דרך האלוף עוזי נרקיס  1, מעלות-תרשיחא",לאומי,כספומטים 🟢
,"ויצמן  64, נהרייה",לאומי,כספומטים 🟢
,"העבודה  1, נוף הגליל",ירושלים,כספומטים 🟢
,"ירושלים, שמגר 16",אושר עד,מרכולים 🟣
,"מרג' אבן עמאר  2, נצרת",ירושלים,כספומטים 🟢
,"דרך השלום  11, נשר",ירושלים,כספומטים 🟢
,"חולון, תמנע 6",רמי לוי,מרכולים 🟣
,"המסגר  2, נתיבות",ירושלים,כספומטים 🟢
,"הבנים  1, נס ציונה",הפועלים,כספומטים 🟢
,"מנחם אריאב  18, נוף הגליל",לאומי,כספומטים 🟢
,"גני טל  2, נתיבות",ירושלים,כספומטים 🟢
,"ירושלים, הפרסה 3",רמי לוי,מרכולים 🟣
,"הרצל  45, נתניה",ירושלים,כספומטים 🟢
,"בית שמש, הגליל 1",אושר עד,מרכולים 🟣
,"מרכז הכפר נחף  0, נחף",לאומי,כספומטים 🟢
,"טום לנטוס  60, נתניה",ירושלים,כספומטים 🟢
,"פנחס בלקני  23, נתניה",ירושלים,כספומטים 🟢
,"פרופסור אברהם פצ'ורניק  19, נס ציונה",לאומי,כספומטים 🟢
,"יבנה, הקישון 9",רמי לוי,מרכולים 🟣
,"רוטשילד  0, נס ציונה",לאומי,כספומטים 🟢
,"פתח תקוה  82, נתניה",ירושלים,כספומטים 🟢
,"רח' האורזים  2, נתניה",ירושלים,כספומטים 🟢
,"גבע בנימין, גבע בנימין 1",רמי לוי,מרכולים 🟣
,"חדרה, השלום 1",רמי לוי,מרכולים 🟣
,"כפר קאסם, הזית 9",רמי לוי,מרכולים 🟣
,"רחוב בני ברמן  2, נתניה",ירושלים,כספומטים 🟢
,"תל אביב -יפו, דבורה הנביאה 127",רמי לוי,מרכולים 🟣
,"שדרות בן גוריון  1, נתניה",ירושלים,כספומטים 🟢
,"ירושלים, יד חרוצים 18",רמי לוי,מרכולים 🟣
,"הגליל  16, נצרת",לאומי,כספומטים 🟢
,"סחנין מול  0, סח'נין",ירושלים,כספומטים 🟢
,"ירושלים, האומן 15",רמי לוי,מרכולים 🟣
,"צאלח א דין  13, עכו",ירושלים,כספומטים 🟢
,"שד' אליהו  5, מזכרת בתיה",הפועלים,כספומטים 🟢
,"איכסל  9, נצרת",לאומי,כספומטים 🟢
,"עכו החרושת קניון עזריאלי  0, עכו",ירושלים,כספומטים 🟢
,"אלעזר פרידמן  9, פתח תקווה",ירושלים,כספומטים 🟢
,"בעלי מלאכה  5, נתיבות",לאומי,כספומטים 🟢
,"הצורן  4, נתניה",לאומי,כספומטים 🟢
,"מנחם בגין  94, פתח תקווה",ירושלים,כספומטים 🟢
,"נשר, דרך בר יהודה 13",רמי לוי,מרכולים 🟣
,"נתניה, המחקר 3",רמי לוי,מרכולים 🟣
,"ההגנה  10, פתח תקווה",ירושלים,כספומטים 🟢
,"גלעד  1, פרדס חנה-כרכור",דיסקונט,בנקים 🔵
,"ז'בוטינסקי  72, פתח תקווה",ירושלים,כספומטים 🟢
,"עכו, בלטימור 2",רמי לוי,מרכולים 🟣
,"נחל אלכסנדר  19, צור יצחק",ירושלים,כספומטים 🟢
,"זלמן שזר  10, נתניה",לאומי,כספומטים 🟢
,"קניון פריד, אזור התעשיה  0, מג'דל שמס",הפועלים,כספומטים 🟢
,"האופה  1, קדימה-צורן",ירושלים,כספומטים 🟢
,"בת ים, העמל 20",רמי לוי,מרכולים 🟣
,"העצמאות  37, קריית אתא",ירושלים,כספומטים 🟢
,"שטמפפר  9, נתניה",לאומי,כספומטים 🟢
,"דרך עכו  192, קריית ביאליק",ירושלים,כספומטים 🟢
,"שבטי ישראל  24, קריית גת",ירושלים,כספומטים 🟢
,"כביש ראשי סכנין עראבה  0, סח'נין",לאומי,כספומטים 🟢
,"החרושת  2, עכו",לאומי,כספומטים 🟢
,"לוד, שד הציונות 1",רמי לוי,מרכולים 🟣
,"מנחם בגין  72, עפולה",לאומי,כספומטים 🟢
,"מרכז הכפר  0, עראבה",לאומי,כספומטים 🟢
,"ראשון לציון, שד דיין משה 3",רמי לוי,מרכולים 🟣
,"שדרות לכיש  5, קריית גת",ירושלים,כספומטים 🟢
,"שדרות גולדה מאיר  3, קריית ים",ירושלים,כספומטים 🟢
,"הראל  1, מבשרת ציון",הפועלים,כספומטים 🟢
,"כפר סבא, גלגלי פלדה 5",רמי לוי,מרכולים 🟣
,"אלון שבות, אלון שבות 1",רמי לוי,מרכולים 🟣
,"מודיעין-מכבים-רעות, החרט 1",רמי לוי,מרכולים 🟣
,"הגר""א  2, קריית יערים",ירושלים,כספומטים 🟢
,"חיפה, פלימן משה 4",רמי לוי,מרכולים 🟣
,"ביל""ו סנטר  1, קריית עקרון",ירושלים,כספומטים 🟢
,"הרצל  63, ראשון לציון",ירושלים,כספומטים 🟢
,"גיא אוני  6, רמלה",ירושלים,כספומטים 🟢
,"תל אביב -יפו, דבורה הנביאה 126",רמי לוי,מרכולים 🟣
,"אלעד, שמעון הצדיק 7",נתיב החסד,מרכולים 🟣
,"דרך אבא הלל  301, רמת גן",ירושלים,כספומטים 🟢
,"נוף הגליל, האדמו""ר מבעלז 1",נתיב החסד,מרכולים 🟣
,"שד' הציונות  1, לוד",הפועלים,כספומטים 🟢
,"זכרון יעקב, הלל יפה 14",נתיב החסד,מרכולים 🟣
,"דרך אבא הלל סילבר  301, רמת גן",ירושלים,כספומטים 🟢
,"חן  4, ערד",לאומי,כספומטים 🟢
,"אופקים, ז'בוטינסקי 73",שפע ברכת השם,מרכולים 🟣
,"הרחוב הראשי  0, ערערה",לאומי,כספומטים 🟢
,"הרצל  75, רמת גן",ירושלים,כספומטים 🟢
,"רחובות, הרב מדר זכריה 27",נתיב החסד,מרכולים 🟣
,"לנדאו  7, רמת גן",ירושלים,כספומטים 🟢
,"עובדיה יוסף  55, שדרות",ירושלים,כספומטים 🟢
,"אשדוד, רב ינאי 7",נתיב החסד,מרכולים 🟣
,"החורש  2, כפר שמריהו",הפועלים,כספומטים 🟢
,"בן יהודה  14, שדרות",ירושלים,כספומטים 🟢
,"הרחוב הראשי  0, פוריידיס",לאומי,כספומטים 🟢
,"מנחם בגין  1, שדרות",ירושלים,כספומטים 🟢
,"אשדוד, האורגים 9",שפע ברכת השם,מרכולים 🟣
,"ראש העין, התאנה 16",קינג סטור,מרכולים 🟣
,"שעב כביש ראשי  1, שעב",ירושלים,כספומטים 🟢
,"כביש ראשי כיכר פקיעין מערבי  0, פקיעין (בוקייעה)",לאומי,כספומטים 🟢
,"שעב ליד כרמיאל  0, שעב",ירושלים,כספומטים 🟢
,"אבן גבירול  30, תל אביב -יפו",ירושלים,כספומטים 🟢
,"באר שבע, קישון 1",קינג סטור,מרכולים 🟣
,"שדרות הדקלים  119, פרדס חנה-כרכור",לאומי,כספומטים 🟢
,"רוטשילד  57, פתח תקווה",לאומי,כספומטים 🟢
,"אחד העם  21, תל אביב -יפו",ירושלים,כספומטים 🟢
,"בית אל  12, תל אביב -יפו",ירושלים,כספומטים 🟢
,"עכו, בן עמי 67",קינג סטור,מרכולים 🟣
,"סח'נין, סח'נין 1",קינג סטור,מרכולים 🟣
,"צרעה  3, תל אביב -יפו",ירושלים,כספומטים 🟢
,"דאלית אל-כרמל, ואדי אלפש 1",קינג סטור,מרכולים 🟣
,"ירושלים, שד גולדה מאיר 255",שוק העיר,מרכולים 🟣
,"אשלים, נחושתן 10",שוק העיר,מרכולים 🟣
,"קבוץ גלויות  71, תל אביב -יפו",ירושלים,כספומטים 🟢
,"יצחק רבין  1, פתח תקווה",לאומי,כספומטים 🟢
,בית הכרם 22 ירושלים,דואר ישראל,סניפי דואר 🟡
,"שפרעם, הדקל 1",קינג סטור,מרכולים 🟣
,גסר א-נסף 14 ירושלים,דואר ישראל,סניפי דואר 🟡
,"סוטין  4, פתח תקווה",לאומי,כספומטים 🟢
,וולטה העלית 3 ירושלים,דואר ישראל,סניפי דואר 🟡
,טשרניחובסקי 42 ירושלים,דואר ישראל,סניפי דואר 🟡
,"אור עקיבא, שד המלך דוד 64",שוק העיר,מרכולים 🟣
,"הגדוד השלישי  2, צפת",לאומי,כספומטים 🟢
,"תרשיש  5, קיסריה",לאומי,כספומטים 🟢
,דוד 7 ירושלים,דואר ישראל,סניפי דואר 🟡
,"נוף הגליל, מעלה יצחק 1",קינג סטור,מרכולים 🟣
,"רחוב ראשי  81, כפר כנא",הפועלים,כספומטים 🟢
,המרפא 1 ירושלים,דואר ישראל,סניפי דואר 🟡
,שטנר 5 ירושלים,דואר ישראל,סניפי דואר 🟡
,"בני ברק, הרב כהנמן 106",שוק העיר,מרכולים 🟣
