qt_1ipv7riftd,qt_fl5xf47dtd,qt_mjj7cc8dtd,Lego_Geocoding_LatLong
"טבריה, הרב חיים סמאג'א  12, טבריה, ישראל",בנקים,לאומי טבריה,"32.787174,35.538065"
"טבריה, הרב חיים סמאג'א  12, טבריה, ישראל",כספומטים,לאומי טבריה,"32.787174,35.538065"
"טבריה, הירדן  5, טבריה, ישראל",בנקים,הפועלים טבריה,"32.787683,35.538106"
"טבריה, הירדן  5, טבריה, ישראל",כספומטים,הפועלים טבריה,"32.787683,35.538106"
"טבריה, הגליל  52, טבריה, ישראל",כספומטים,דיסקונט טבריה,"32.784337,35.541297"
"טבריה, הגליל  52, טבריה, ישראל",בנקים,דיסקונט טבריה,"32.784337,35.541297"
"טבריה, הבנים  2, טבריה, ישראל",בנקים,מזרחי טבריה,"32.786838,35.541167"
"טבריה, הבנים  2, טבריה, ישראל",כספומטים,מזרחי טבריה,"32.786838,35.541167"
"טבריה, אור חיים 11 טבריה, ישראל",סניפי דואר,דואר ישראל שכון ד רסקו,"32.779207,35.516782"
"חריש, חריש, ספיר 1, ישראל",מרכולים,ויקטורי חריש,"32.464006,35.042952"
"חריש, חריש, טורקיז 3, ישראל",מרכולים,שופרסל שופרסל דיל חריש,"32.462489,35.046961"
"חריש, חריש, דרך הארץ 53, ישראל",מרפאות,כללית חריש,"32.461179,35.047396"
"חריש, חריש, דרך ארץ 2, ישראל",מרכולים,שופרסל חריש,"32.470593,35.039172"
"חריש, חריש, דרך ארץ 1, ישראל",מרכולים,שופרסל חריש,"32.470504,35.039288"
"חריש, דרך ארץ 59 חריש, ישראל",סניפי דואר,דואר ישראל סוכנות חריש,"32.460907,35.047436"
"חריש, דרך ארץ 52, חריש, ישראל",טיפות חלב,טיפות חלב חריש מכבי,"32.461578,35.045701"
"חריש, דרך ארץ 39, חריש, ישראל",טיפות חלב,טיפות חלב חריש לאומית,"32.462894,35.043826"
"חריש, דרך ארץ 32, חריש, ישראל",טיפות חלב,טיפות חלב חריש מאוחדת,"32.463154,35.043188"
"חריש, דרך ארץ  46, חריש, ישראל",כספומטים,לאומי שלוחת חריש,"32.462466,35.043937"
"חריש, דרך ארץ  46, חריש, ישראל",בנקים,לאומי שלוחת חריש,"32.462466,35.043937"
"חריש, דרך ארץ  33, חריש, ישראל",כספומטים,מזרחי חריש,"32.463154,35.043188"
"חריש, דרך ארץ  33, חריש, ישראל",בנקים,מזרחי חריש,"32.463154,35.043188"
"חריש, דרך ארץ  2, חריש, ישראל",בנקים,הפועלים חריש,"32.470593,35.039172"
"חריש, דרך ארץ  2, חריש, ישראל",כספומטים,הפועלים חריש,"32.470593,35.039172"
"חרוצים, ד.נ חוף השרון, חרוצים, ישראל",טיפות חלב,טיפות חלב חרוצים-בצרה,"32.22771,34.864772"
"חצרים, בסיס צבאי חצרים  0, חצרים, ישראל",כספומטים,הבינלאומי חצרים,"31.240603,34.717427"
"חצור-אשדוד, שדרות ירושלים  12, חצור-אשדוד, ישראל",בנקים,ירושלים אשדוד,"31.776883,35.222435"
"חצור-אשדוד, שדרות ירושלים  12, חצור-אשדוד, ישראל",כספומטים,ירושלים אשדוד,"31.776883,35.222435"
"חצור-אשדוד, בסיס צבאי, מחנה מרים  0, חצור-אשדוד, ישראל",כספומטים,הבינלאומי חצור,"31.772744,34.719366"
"חצור הגלילית, חצור הגלילית, דרך הבנים 1, ישראל",מרכולים,שופרסל חצור,"32.981358,35.556307"
"חצור הגלילית, חצור הגלילית, בן גוריון 7, ישראל",מרפאות,כללית חצור הגלילית,"32.981415,35.543676"
"חצור הגלילית, ההסתדרות  1, חצור הגלילית, ישראל",בנקים,הפועלים חצור,"32.981426,35.543652"
"חצור הגלילית, ההסתדרות  1, חצור הגלילית, ישראל",כספומטים,הפועלים חצור,"32.981426,35.543652"
"חצור הגלילית, האשחר 2, חצור הגלילית, ישראל",טיפות חלב,טיפות חלב כליל החורש,"32.98598,35.544477"
"חצור הגלילית, דרך הבנים  1, חצור הגלילית, ישראל",כספומטים,מזרחי מסלקה,"32.981358,35.556307"
"חפצי-בה, ד.נ גלבוע, חפצי-בה, ישראל",טיפות חלב,טיפות חלב חפציבה,"32.518729,35.426247"
"חספין, ישיבת הסדר חספין?, חספין, ישראל",טיפות חלב,טיפות חלב ניידת טיפת חלב חספין,"32.84563,35.792991"
"חספין, חספין,  0, ישראל",מרפאות,כללית חספין,"32.84563,35.792991"
"חספין, ד.נ רמת הגולן, חספין, ישראל",טיפות חלב,טיפות חלב חספין כללית,"32.84563,35.792991"
"חניתה, חניתה, חניתה, ישראל",טיפות חלב,טיפות חלב חניתה,"33.087634,35.17343"
"חמאם, ואדי חמאם, חמאם, ישראל",טיפות חלב,טיפות חלב ואדי חמאם,"32.82922,35.497559"
"חלץ, ד.נ חוף אשקלון, חלץ, ישראל",טיפות חלב,טיפות חלב חלץ,"31.57794,34.658391"
"חיפה, שונית  12, חיפה, ישראל",בנקים,הפועלים שלוחת כרמלים,"32.812593,34.961018"
"חיפה, שונית  12, חיפה, ישראל",כספומטים,הפועלים כרמלים,"32.812593,34.961018"
"חיפה, שדרות פל ים  7, חיפה, ישראל",בנקים,לאומי חיפה,"32.816687,35.001179"
"חיפה, שדרות פל ים  7, חיפה, ישראל",כספומטים,לאומי חיפה,"32.816687,35.001179"
"חיפה, שדרות פל ים  7, חיפה, ישראל",בנקים,לאומי קרית אליעזר,"32.816687,35.001179"
"חיפה, שדרות הנשיא  124, חיפה, ישראל",כספומטים,דיסקונט מרכז הכרמל,"32.804639,34.987367"
"חיפה, שדרות הנשיא  123, חיפה, ישראל",בנקים,לאומי הכרמל,"32.804187,34.987644"
"חיפה, שדרות הנשיא  123, חיפה, ישראל",כספומטים,לאומי הכרמל,"32.804187,34.987644"
"חיפה, שד' מוריה  44, חיפה, ישראל",כספומטים,יהב כרמל,"32.798027,34.98439"
"חיפה, שד' מוריה  44, חיפה, ישראל",בנקים,יהב כרמל,"32.798027,34.98439"
"חיפה, שד' הנשיא  137, חיפה, ישראל",כספומטים,מזרחי כרמל,"32.802673,34.986152"
"חיפה, שד' הנשיא  137, חיפה, ישראל",בנקים,מזרחי כרמל,"32.802673,34.986152"
"חיפה, שד' הנשיא  134, חיפה, ישראל",כספומטים,מרכנתיל מרכז הכרמל,"32.803239,34.985802"
"חיפה, שד' הנשיא  127, חיפה, ישראל",בנקים,הבינלאומי המרכז לבנקאות פרטית - צפון,"32.803664,34.987268"
"חיפה, שד' הנשיא  111, חיפה, ישראל",כספומטים,הפועלים הר הכרמל,"32.805944,34.98765"
"חיפה, שד' הנשיא  111, חיפה, ישראל",בנקים,הפועלים הר הכרמל,"32.805944,34.98765"
"חיפה, שד' הנשיא  107, חיפה, ישראל",כספומטים,לאומי בנקאות פרטית חיפה,"32.806545,34.98746"
"חיפה, שד' הנשיא  107, חיפה, ישראל",בנקים,לאומי בנקאות פרטית חיפה,"32.806545,34.98746"
"חיפה, שד' ההסתדרות  271, חיפה, ישראל",בנקים,הפועלים מרכז עסקים המפרץ,"32.812244,35.070108"
"חיפה, שד ורבורג 114, חיפה, ישראל",טיפות חלב,טיפות חלב קרית שמואל,"32.841205,35.069202"
"חיפה, שד הנשיא 37 חיפה, ישראל",סניפי דואר,דואר ישראל הנשיא,"32.813494,34.981536"
"חיפה, שד דגניה 30, חיפה, ישראל",טיפות חלב,טיפות חלב קרית חיים המערבית,"32.830478,35.057579"
"חיפה, שד בן גוריון 27 חיפה, ישראל",סניפי דואר,דואר ישראל בן גוריון,"32.820399,34.990928"
"חיפה, רח' העליה השנייה  8, חיפה, ישראל",בנקים,"יהב רמב""ם","32.832977,34.985647"
"חיפה, רח' העליה השנייה  8, חיפה, ישראל",כספומטים,"יהב רמב""ם","32.832977,34.985647"
"חיפה, קרית הטכניון  1, חיפה, ישראל",בנקים,הבינלאומי הטכניון,"32.808228,35.072731"
"חיפה, קרית הטכניון  1, חיפה, ישראל",כספומטים,הבינלאומי הטכניון,"32.808228,35.072731"
"חיפה, קומוי  1, חיפה, ישראל",בנקים,הבינלאומי נווה שאנן,"32.782391,35.014234"
"חיפה, קומוי  1, חיפה, ישראל",כספומטים,הבינלאומי נווה שאנן,"32.782391,35.014234"
"חיפה, פלימן משה, מרכז קסטרא  8, חיפה, ישראל",בנקים,הפועלים מרכז עסקים חיפה,"32.787625,34.970471"
"חיפה, פלימן  4, חיפה, ישראל",בנקים,לאומי עסקים מבואות חיפה,"32.789739,34.965082"
"חיפה, פלימן  4, חיפה, ישראל",כספומטים,לאומי עסקים מבואות חיפה,"32.789739,34.965082"
"חיפה, פלי""ם  2, חיפה, ישראל",בנקים,הפועלים פועלים BUSINESS חיפה,"32.794046,34.989571"
"חיפה, פלי""ם  2, חיפה, ישראל",כספומטים,הפועלים פועלים BUSINESS חיפה,"32.794046,34.989571"
"חיפה, פלי""ם  11, חיפה, ישראל",כספומטים,מזרחי מרכז עסקים חיפה,"32.794046,34.989571"
"חיפה, פלי""ם  11, חיפה, ישראל",בנקים,מזרחי מרכז עסקים חיפה,"32.794046,34.989571"
"חיפה, פל ים  9, חיפה, ישראל",בנקים,דיסקונט פל ים שלוחת מרכז הכרמל,"32.794046,34.989571"
"חיפה, פל ים  9, חיפה, ישראל",כספומטים,דיסקונט פל ים שלוחת מרכז הכרמל,"32.794046,34.989571"
"חיפה, סילבר אבא הלל 8, חיפה, ישראל",טיפות חלב,טיפות חלב יזרעאליה,"32.790075,35.012131"
"חיפה, נתנזון  26, חיפה, ישראל",כספומטים,ירושלים חיפה,"32.816607,35.001443"
"חיפה, נתנזון  26, חיפה, ישראל",בנקים,ירושלים חיפה,"32.816607,35.001443"
"חיפה, נתנזון  22, חיפה, ישראל",בנקים,יהב חיפה,"32.81689,35.001078"
"חיפה, נתנזון  22, חיפה, ישראל",כספומטים,יהב חיפה,"32.81689,35.001078"
"חיפה, מרגלית 1, חיפה, ישראל",טיפות חלב,טיפות חלב מרגלית,"32.79565,34.98378"
"חיפה, מימון הרב 31, חיפה, ישראל",טיפות חלב,טיפות חלב מימון,"32.783935,35.02391"
"חיפה, לסקוב  1, חיפה, ישראל",כספומטים,הבינלאומי דניה,"32.77438,35.001939"
"חיפה, לסקוב  1, חיפה, ישראל",בנקים,הבינלאומי דניה,"32.77438,35.001939"
"חיפה, כורי 1, חיפה, ישראל",טיפות חלב,טיפות חלב חורי,"32.815143,34.997029"
"חיפה, טרומפלדור  54, חיפה, ישראל",כספומטים,מזרחי נווה שאנן,"32.783134,35.013787"
"חיפה, טרומפלדור  54, חיפה, ישראל",בנקים,מזרחי נווה שאנן,"32.783134,35.013787"
"חיפה, טרומפלדור  47, חיפה, ישראל",בנקים,הפועלים נוה שאנן,"32.783367,35.015256"
"חיפה, טרומפלדור  47, חיפה, ישראל",כספומטים,הפועלים נוה שאנן,"32.783367,35.015256"
"חיפה, חניתה  40, חיפה, ישראל",בנקים,הפועלים שלוחת יזרעאליה,"32.792374,35.012157"
"חיפה, חניתה  40, חיפה, ישראל",כספומטים,הפועלים יזרעאליה,"32.792374,35.012157"
"חיפה, חלוצי התעשיה  3, חיפה, ישראל",כספומטים,הפועלים המפרץ,"32.81087,35.068085"
"חיפה, חלוצי התעשיה  3, חיפה, ישראל",בנקים,הפועלים המפרץ,"32.81087,35.068085"
"חיפה, חלוצי התעשיה  20, חיפה, ישראל",בנקים,הבינלאומי עסקים ראשי צפון,"32.812146,35.066604"
"חיפה, חלוצי התעשיה  20, חיפה, ישראל",בנקים,הבינלאומי מתחם שירותי קופה - חיפה והקריות,"32.812146,35.066604"
"חיפה, חלוצי התעשיה  20, חיפה, ישראל",כספומטים,הבינלאומי עסקים ראשי צפון,"32.812146,35.066604"
"חיפה, חיפה, תל אביב 11, ישראל",מרכולים,קשת טעמים חיפה,"32.825304,34.987229"
"חיפה, חיפה, שלמה המלך 55, ישראל",מרכולים,שופרסל דיל חיפה,"32.811397,34.959976"
"חיפה, חיפה, שדרות מוריה 73, ישראל",מרפאות,כללית בונן - חיפה,"32.794356,34.985554"
"חיפה, חיפה, שד הנשיא 134, ישראל",מרכולים,קרפור חיפה,"32.803239,34.985802"
"חיפה, חיפה, שד הנשיא 124, ישראל",מרכולים,שופרסל שלי חיפה,"32.804639,34.987367"
"חיפה, חיפה, שד ההסתדרות 277, ישראל",מרכולים,סטופמרקט חיפה,"32.812779,35.071254"
"חיפה, חיפה, שבתאי לוי 23, ישראל",מרכולים,קשת טעמים חיפה,"32.814482,34.993164"
"חיפה, חיפה, פלימן משה 8, ישראל",מרכולים,סטופמרקט סטופ מרקט קסטרא,"32.787904,34.96849"
"חיפה, חיפה, פלימן משה 4, ישראל",מרכולים,רמי לוי רמי לוי מתמ,"32.790268,34.962283"
"חיפה, חיפה, סמולנסקין 3, ישראל",מרפאות,מאוחדת חיפה-סמולמסקין,"32.78426,34.985342"
"חיפה, חיפה, נתיב חן 1, ישראל",מרכולים,שופרסל שלי חיפה,"32.796186,35.010177"
"חיפה, חיפה, מרטין בובר 3, ישראל",מרפאות,כללית בנימין בראון (רוממה) - חיפה,"32.783569,34.997655"
"חיפה, חיפה, לבונה 77, ישראל",מרכולים,קינג סטור חיפה,"32.806881,34.966849"
"חיפה, חיפה, ככר מאירהוף 9, ישראל",מרכולים,שופרסל דיל חיפה,"32.824395,34.982578"
"חיפה, חיפה, ככר מאירהוף 9, ישראל",מרכולים,שופרסל שופר סל קרית אליעזר,"32.824395,34.982578"
"חיפה, חיפה, חסן שוקרי 5, ישראל",מרפאות,מאוחדת חיפה-חסן שוקרי 5,"32.814299,34.998099"
"חיפה, חיפה, חניתה 64, ישראל",מרכולים,שופרסל יש חסד נווה שאנן,"32.790028,35.013697"
"חיפה, חיפה, חורב 15, ישראל",מרכולים,שופרסל חורב חיפה,"32.784776,34.987294"
"חיפה, חיפה, התיכון 73, ישראל",מרפאות,מכבי מר.רפואי נוה שאנן-מנהלת,"32.787568,35.018672"
"חיפה, חיפה, הרצל 97, ישראל",מרכולים,קרפור שוק מהדרין הרצל,"32.804996,35.003456"
"חיפה, חיפה, הרצל 97, ישראל",מרכולים,שוק מהדרין חיפה,"32.804996,35.003456"
"חיפה, חיפה, הרצל 73, ישראל",מרפאות,מכבי מר.רפואי חיפה-הדר-מנהלת,"32.806828,35.002398"
"חיפה, חיפה, המלך דוד 10, ישראל",מרפאות,כללית נוה דוד - חיפה,"32.808039,34.95986"
"חיפה, חיפה, החרושת 10, ישראל",מרכולים,טיב טעם חיפה,"32.807673,35.055035"
"חיפה, חיפה, האצטדיון 5, ישראל",מרכולים,קשת טעמים חיפה,"32.820222,35.05518"
"חיפה, חיפה, גולן שמחה 54, ישראל",מרכולים,שופרסל חיפה,"32.789769,35.008007"
"חיפה, חיפה, ברל כצנלסון 67, ישראל",מרכולים,שופרסל חיפה,"32.784305,35.013446"
"חיפה, חיפה, בר יהודה ישראל 31, ישראל",מרכולים,אושר עד חיפה,"32.802792,35.01196"
"חיפה, חיפה, ארלוזורוב 11, ישראל",מרפאות,מאוחדת חיפה-מרפאת ארלוזורוב,"32.806384,35.000928"
"חיפה, חיפה, אנקואה רפאל הרב 24, ישראל",מרכולים,ויקטורי חיפה,"32.784713,35.022409"
"חיפה, חיפה, אל אדריסי 10, ישראל",מרפאות,כללית קרית אליהו - חיפה,"32.82621,34.986826"
"חיפה, חיפה, איתין יהודה 4, ישראל",מרכולים,שופרסל שופרסל אדמרלטי,"32.815492,35.050816"
"חיפה, חיפה, אינשטיין אלברט 139, ישראל",מרכולים,סטופמרקט חיפה,"32.777771,34.999874"
"חיפה, חיפה, אח""י אילת 18, ישראל",מרכולים,שופרסל חיפה,"32.821583,35.069703"
"חיפה, חורב 15 חיפה, ישראל",סניפי דואר,דואר ישראל מרכז חורב,"32.784776,34.987294"
"חיפה, חורב  15, חיפה, ישראל",כספומטים,הפועלים אחוזה,"32.784776,34.987294"
"חיפה, חורב  15, חיפה, ישראל",בנקים,הפועלים אחוזה,"32.784776,34.987294"
"חיפה, חורב  14, חיפה, ישראל",כספומטים,לאומי חורב,"32.7853,34.985779"
"חיפה, חורב  14, חיפה, ישראל",בנקים,לאומי דניה,"32.7853,34.985779"
"חיפה, חורב  14, חיפה, ישראל",בנקים,לאומי חורב,"32.7853,34.985779"
"חיפה, השלוח 35, חיפה, ישראל",טיפות חלב,טיפות חלב שילוח,"32.803284,35.001655"
"חיפה, השיירה 46, חיפה, ישראל",טיפות חלב,טיפות חלב קרית חיים המזרחית,"32.82219,35.072722"
"חיפה, הרצל  63, חיפה, ישראל",בנקים,לאומי מרכז קופות חיפה,"32.807888,35.000961"
"חיפה, הרצל  63, חיפה, ישראל",כספומטים,לאומי מרכז קופות חיפה,"32.807888,35.000961"
"חיפה, הרצל  63, חיפה, ישראל",בנקים,הבינלאומי פאגי חיפה,"32.807888,35.000961"
"חיפה, הרצל  63, חיפה, ישראל",כספומטים,הבינלאומי פאגי חיפה,"32.807888,35.000961"
"חיפה, הנביאים 22 חיפה, ישראל",סניפי דואר,דואר ישראל הנביאים,"32.812852,34.995209"
"חיפה, הנביאים  26, חיפה, ישראל",כספומטים,מזרחי חיפה הדר,"32.81252,34.994872"
"חיפה, הנביאים  26, חיפה, ישראל",בנקים,מזרחי חיפה הדר,"32.81252,34.994872"
"חיפה, הנביאים  18, חיפה, ישראל",כספומטים,דיסקונט בית הקרנות,"32.813584,34.995497"
"חיפה, הנביאים  18, חיפה, ישראל",כספומטים,הפועלים חיפה ראשי,"32.813584,34.995497"
"חיפה, הנביאים  18, חיפה, ישראל",בנקים,הפועלים חיפה ראשי,"32.813584,34.995497"
"חיפה, הנביאים  18, חיפה, ישראל",בנקים,דיסקונט בית הקרנות,"32.813584,34.995497"
"חיפה, הנביאים  18, חיפה, ישראל",בנקים,הפועלים פועלים INVEST חיפה,"32.813584,34.995497"
"חיפה, המעפילים 1, חיפה, ישראל",טיפות חלב,טיפות חלב ק. אליעזר,"32.823495,34.982673"
"חיפה, הירדן 19, חיפה, ישראל",טיפות חלב,טיפות חלב חליסה,"32.801562,35.009009"
"חיפה, החשמל  19, חיפה, ישראל",כספומטים,מזרחי מסלקה,"32.798071,35.017627"
"חיפה, החרושת  1, חיפה, ישראל",כספומטים,מזרחי מסלקה,"32.806523,35.05535"
"חיפה, החרושת  0, חיפה, ישראל",בנקים,הבינלאומי מפרץ חיפה,"32.80641,35.055298"
"חיפה, החרושת  0, חיפה, ישראל",כספומטים,הבינלאומי מפרץ חיפה,"32.80641,35.055298"
"חיפה, החי""ל 2, חיפה, ישראל",טיפות חלב,טיפות חלב בת גלים,"32.831014,34.979246"
"חיפה, דרך שמחה גולן  54, חיפה, ישראל",כספומטים,ירושלים חיפה,"32.789769,35.008007"
"חיפה, גלבוע  36, חיפה, ישראל",כספומטים,לאומי נווה שאנן,"32.782384,35.015387"
"חיפה, גלבוע  36, חיפה, ישראל",בנקים,לאומי נווה שאנן,"32.782384,35.015387"
"חיפה, בר יהודה  111, חיפה, ישראל",בנקים,מסד חיפה,"32.787525,35.029472"
"חיפה, בר יהודה  111, חיפה, ישראל",כספומטים,מסד חיפה,"32.787525,35.029472"
"חיפה, ארן זלמן 56 קריית חיים, ישראל",סניפי דואר,דואר ישראל קרית חיים מערבית,"32.832961,35.060023"
"חיפה, ארלוזורוב 92, חיפה, ישראל",טיפות חלב,טיפות חלב ארלוזורוב,"32.808112,34.993508"
"חיפה, אסא המלך 4, חיפה, ישראל",טיפות חלב,טיפות חלב נווה דוד,"32.809555,34.958598"
"חיפה, אלנבי  36, חיפה, ישראל",כספומטים,מרכנתיל ואדי ניסנאס,"32.819004,34.992809"
"חיפה, אלנבי  36, חיפה, ישראל",בנקים,מרכנתיל ואדי ניסנאס,"32.819004,34.992809"
"חיפה, אלחנן  1, חיפה, ישראל",בנקים,הבינלאומי הכרמל חיפה,"32.804001,34.98733"
"חיפה, אלחנן  1, חיפה, ישראל",כספומטים,הבינלאומי הכרמל חיפה,"32.804001,34.98733"
"חיפה, אינשטיין  139, חיפה, ישראל",בנקים,דיסקונט רמת אלמוגי,"32.777771,34.999874"
"חיפה, אינשטיין  139, חיפה, ישראל",בנקים,דיסקונט המרכז לבנקאות פרטית-חיפה והצפון,"32.777771,34.999874"
"חיפה, אינשטיין  139, חיפה, ישראל",כספומטים,דיסקונט רמת אלמוגי,"32.777771,34.999874"
"חיפה, אח""י אילת 13 קריית חיים, ישראל",סניפי דואר,דואר ישראל סוכנות קרית חיים,"32.833078,35.070487"
"חיפה, אורן  25, חיפה, ישראל",כספומטים,הבינלאומי הכרמל חיפה,"32.78485,34.9964"
"חיפה, אבא חושי  199, חיפה, ישראל",כספומטים,יהב אוניברסיטת חיפה,"32.761289,35.020229"
"חיפה, 0  0, חיפה, ישראל",כספומטים,הבינלאומי חיל הים - חיפה,"32.794046,34.989571"
"חורשים, מחלף חורשים  1, חורשים, ישראל",כספומטים,ירושלים נתניה,"32.137875,34.97102"
"חורפיש, ראשי חורפיש  0, חורפיש, ישראל",כספומטים,מרכנתיל חורפיש,"33.016688,35.347106"
"חורפיש, ראשי חורפיש  0, חורפיש, ישראל",בנקים,מרכנתיל חורפיש,"33.016688,35.347106"
"חורפיש, מרכז הכפר  0, חורפיש, ישראל",בנקים,לאומי חרפיש,"33.016688,35.347106"
"חורפיש, מרכז הכפר  0, חורפיש, ישראל",כספומטים,לאומי חרפיש,"33.016688,35.347106"
"חורפיש, חורפיש, חורפיש, ישראל",טיפות חלב,טיפות חלב חורפיש,"33.016688,35.347106"
"חורה, שכונה 9, חורה, ישראל",טיפות חלב,טיפות חלב חורה ב' כללית,"31.302178,34.942051"
"חורה, שכונה 10, חורה, ישראל",טיפות חלב,טיפות חלב חורה,"31.302478,34.948583"
"חורה, חורה, חורה, ישראל",טיפות חלב,טיפות חלב חורה ב',"31.299726,34.935863"
"חולון, שנקר  39, חולון, ישראל",בנקים,הפועלים שנקר,"32.023829,34.776693"
"חולון, שנקר  39, חולון, ישראל",כספומטים,הפועלים שנקר,"32.023829,34.776693"
"חולון, שדרות דב הוז  1, חולון, ישראל",כספומטים,ירושלים ראשון לציון,"32.023044,34.769438"
"חולון, רבינוביץ  11, חולון, ישראל",כספומטים,ירושלים ראשון לציון,"31.999663,34.769369"
"חולון, קרן היסוד  1, חולון, ישראל",כספומטים,הפועלים ששת הימים,"32.008174,34.791737"
"חולון, צבי תדמור, מרכז נתנאל  12, חולון, ישראל",בנקים,הפועלים לב חולון,"32.013925,34.776245"
"חולון, צבי תדמור, מרכז נתנאל  12, חולון, ישראל",כספומטים,הפועלים לב חולון,"32.013925,34.776245"
"חולון, צבי תדמור  12, חולון, ישראל",כספומטים,יהב חולון,"32.013631,34.777812"
"חולון, צבי תדמור  12, חולון, ישראל",בנקים,יהב חולון,"32.013631,34.777812"
"חולון, פנחס אילון  13, חולון, ישראל",בנקים,דיסקונט קריית אילון חולון,"32.008838,34.778491"
"חולון, פנחס אילון  13, חולון, ישראל",כספומטים,דיסקונט קריית אילון חולון,"32.008838,34.778491"
"חולון, פינחס איילון  13, חולון, ישראל",בנקים,לאומי מרגנית,"32.008838,34.778491"
"חולון, פינחס איילון  13, חולון, ישראל",כספומטים,לאומי מרגנית,"32.008838,34.778491"
"חולון, סוקולוב  95, חולון, ישראל",כספומטים,מזרחי חולון,"32.022556,34.781246"
"חולון, סוקולוב  95, חולון, ישראל",בנקים,מזרחי חולון,"32.022556,34.781246"
"חולון, סוקולוב  68, חולון, ישראל",כספומטים,דיסקונט חולון,"32.022511,34.776787"
"חולון, סוקולוב  48, חולון, ישראל",כספומטים,"מזרחי קוגל,חולון","32.022382,34.77447"
"חולון, סוקולוב  48, חולון, ישראל",בנקים,"מזרחי קוגל,חולון","32.022382,34.77447"
"חולון, סוקולוב  45, חולון, ישראל",בנקים,לאומי חולון,"32.022979,34.774889"
"חולון, סוקולוב  45, חולון, ישראל",כספומטים,לאומי חולון,"32.022979,34.774889"
"חולון, סוקולוב  41, חולון, ישראל",כספומטים,מסד חולון,"32.02295,34.774029"
"חולון, חזית חמש 5, חולון, ישראל",טיפות חלב,טיפות חלב תל-גיבורים,"32.0316,34.762577"
"חולון, חזית חמש  11, חולון, ישראל",כספומטים,ירושלים חולון,"32.030275,34.762316"
"חולון, חולון, תמנע 6, ישראל",מרכולים,רמי לוי רמי לוי תמנע,"32.024137,34.799356"
"חולון, חולון, רבינוביץ יהושע 58, ישראל",מרכולים,שופרסל חולון,"31.996759,34.773475"
"חולון, חולון, קרן היסוד 1, ישראל",מרכולים,שופרסל שופרסל דיל קרן היסוד,"32.008174,34.791737"
"חולון, חולון, קוגל שד' 45, ישראל",מרפאות,מאוחדת חולון-שד' קוגל,"32.025572,34.774112"
"חולון, חולון, הפלד 7, ישראל",מרכולים,רמי לוי רמי לוי מבנה חולון,"32.023561,34.797682"
"חולון, חולון, המרכבה 73, ישראל",מרכולים,שוק העיר חולון שוק העיר,"32.002412,34.805406"
"חולון, חולון, המרכבה 31, ישראל",מרכולים,חצי חינם חצי חינם המרכבה,"32.010838,34.808327"
"חולון, חולון, המרגנית 2, ישראל",מרכולים,קרפור קרפור חולון בסיטי,"32.008763,34.778471"
"חולון, חולון, הכישור 22, ישראל",מרכולים,חצי חינם חצי חינם הכישורים חולון,"32.003735,34.803677"
"חולון, חולון, הופיין 13, ישראל",מרפאות,מכבי מר.רפואי חולון-מנהלת,"32.014335,34.766865"
"חולון, חולון, ההסתדרות 106, ישראל",מרכולים,קרפור קרפור סיטי ההסתדרות,"32.01673,34.781431"
"חולון, חולון, גולדה מאיר 7, ישראל",מרכולים,שופרסל חולון,"32.012288,34.77943"
"חולון, ויצמן  46, חולון, ישראל",כספומטים,הפועלים חולון-ויצמן,"32.01902,34.770667"
"חולון, ויצמן  46, חולון, ישראל",בנקים,הפועלים חולון-ויצמן,"32.01902,34.770667"
"חולון, התנאים  6, חולון, ישראל",כספומטים,ירושלים חולון,"32.006039,34.763962"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 765,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",כספומטים,מזרחי פארק עסקים חולון,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 586,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,מזרחי פארק עסקים חולון,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 412,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 436,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 600,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",כספומטים,מרכנתיל חולון,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות חולון 63,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות חולון 61,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 175,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 110,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 159,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 176,"32.007036,34.800522"
"חולון, הרוקמים  26, חולון, ישראל",בנקים,הפועלים מרכז שירות עסקי חולון 177,"32.007036,34.800522"
